     k_values  n_values  Variability
127         1        25          1.0
128         1        25          1.0
130         1        25          1.0
131         1        25          1.0
132         1        25          1.0
135         1        25          1.0
136         1        25          1.0
137         1        25          1.0
138         1        25          1.0
139         1        25          1.0
141         1        25          1.0
143         1        25          1.0
145         1        25          1.0
147         1        25          1.0
149         1        25          1.0
157         1        25          1.0
158         1        25          1.0
162         1        25          1.0
163         1        25          1.0
169         1        25          1.0
174         1        25          1.0
176         1        25          1.0
178         1        25          1.0
179         1        25          1.0
180         1        25          1.0
186         1        25          1.0
187         1        25          1.0
188         1        25          1.0
189         1        25          1.0
196         1        25          1.0
198         1        25          1.0
199         1        25          1.0
202         1        25          1.0
206         1        25          1.0
210         1        25          1.0
237         1        25          1.0
238         1        25          1.0
239         1        25          1.0
240         1        25          1.0
253         1        25          1.0
254         1        25          1.0
260         1        25          1.0
261         1        25          1.0
264         1        25          1.0
271         1        25          1.0
276         1        25          1.0
278         1        25          1.0
279         1        25          1.0
280         1        25          1.0
284         1        25          1.0
287         1        25          1.0
288         1        25          1.0
292         1        25          1.0
293         1        25          1.0
295         1        25          1.0
296         1        25          1.0
299         1        25          1.0
300         1        25          1.0
303         1        25          1.0
304         1        25          1.0
305         1        25          1.0
308         1        25          1.0
310         1        25          1.0
312         1        25          1.0
313         1        25          1.0
314         1        25          1.0
315         1        25          1.0
316         1        25          1.0
317         1        25          1.0
321         1        25          1.0
322         1        25          1.0
323         1        25          1.0
328         1        25          1.0
330         1        25          1.0
331         1        25          1.0
332         1        25          1.0
333         1        25          1.0
334         1        25          1.0
335         1        25          1.0
338         1        25          1.0
341         1        25          1.0
343         1        25          1.0
344         1        25          1.0
345         1        25          1.0
346         1        25          1.0
347         1        25          1.0
348         1        25          1.0
350         1        25          1.0
352         1        25          1.0
354         1        25          1.0
355         1        25          1.0
357         1        25          1.0
358         1        25          1.0
359         1        25          1.0
360         1        25          1.0
361         1        25          1.0
362         1        25          1.0
363         1        25          1.0
364         1        25          1.0
365         1        25          1.0
369         1        25          1.0
371         1        25          1.0
372         1        25          1.0
374         1        25          1.0
375         1        25          1.0
377         1        25          1.0
378         1        25          1.0
379         1        25          1.0
380         1        25          1.0
381         1        25          1.0
382         1        25          1.0
383         1        25          1.0
384         1        25          1.0
385         1        25          1.0
386         1        25          1.0
387         1        25          1.0
388         1        25          1.0
389         1        25          1.0
390         1        25          1.0
394         1        25          1.0
395         1        25          1.0
396         1        25          1.0
397         1        25          1.0
399         1        25          1.0
405         1        25          1.0
406         1        25          1.0
407         1        25          1.0
409         1        25          1.0
410         1        25          1.0
413         1        25          1.0
416         1        25          1.0
419         1        25          1.0
